MeasureItem;MeasureItemCategoryID;MeasureItemID;Category;Country;Year;LengthOfCircuits;LengthOfRoutes;NumberOfUnits;ProvidedValue;CreationDate;ProvidedValueCode
Inventory of Transmission;5;427;Comments_4;DK;2021;;;;;28/03/2023;
Inventory of Transmission;5;422;DCC_110kV_220V;DK;2021;;;;;28/03/2023;Not Expected
Inventory of Transmission;5;408;DCC_220kV_380kV;DK;2021;829.78;742.29;;;28/03/2023;
Inventory of Transmission;5;409;DCC_Over_380kV;DK;2021;313.17;211.8;;;28/03/2023;
Inventory of Transmission;5;421;Nw_220kV_110kV_lower;DK;2021;;;2;900;28/03/2023;
Inventory of Transmission;5;420;Nw_275kV_110kV_lower;DK;2021;;;;;28/03/2023;Not Expected
Inventory of Transmission;5;419;Nw_330kV_110kV_lower;DK;2021;;;;;28/03/2023;Not Expected
Inventory of Transmission;5;418;Nw_330kV_220kV;DK;2021;;;;;28/03/2023;Not Expected
Inventory of Transmission;5;417;Nw_400kV_110kV_lower;DK;2021;;;44;14901.2;28/03/2023;
Inventory of Transmission;5;416;Nw_400kV_220kV;DK;2021;;;3;1450;28/03/2023;
Inventory of Transmission;5;415;Nw_400kV_330kV;DK;2021;;;;;28/03/2023;Not Expected
Inventory of Transmission;5;414;Nw_750kV_400kV_lower;DK;2021;;;;;28/03/2023;Not Expected
Inventory of Transmission;5;413;Of_PU_>220kV;DK;2021;;;13;3530;28/03/2023;
Inventory of Transmission;5;412;Of_PU_>275kV;DK;2021;;;;;28/03/2023;Not Expected
Inventory of Transmission;5;411;Of_PU_>330kV;DK;2021;;;;;28/03/2023;Not Expected
Inventory of Transmission;5;410;Of_PU_>400kV;DK;2021;;;62;18892.2;28/03/2023;
Inventory of Transmission;5;406;ACC_220kV_380kV;ES;2021;522.374;448.43;;;28/03/2023;
Inventory of Transmission;5;407;ACC_Over_380kV;ES;2021;55.05;22.8;;;28/03/2023;
Inventory of Transmission;5;400;ACL_110kV_220kV;ES;2021;363.77;352.14;;;28/03/2023;
Inventory of Transmission;5;401;ACL_220kV;ES;2021;19057.78;13579.59;;;28/03/2023;
Inventory of Transmission;5;402;ACL_275kV;ES;2021;;;;;28/03/2023;Not Expected
Inventory of Transmission;5;403;ACL_330kV;ES;2021;;;;;28/03/2023;Not Expected
Inventory of Transmission;5;404;ACL_380_400kV;ES;2021;21651.39;14190.33;;;28/03/2023;
Inventory of Transmission;5;405;ACL_750kV;ES;2021;;;;;28/03/2023;Not Expected
Inventory of Transmission;5;424;Comments_1;ES;2021;;;;*Estimation of the Length of Routes. Includes REE assets on a national scope.;28/03/2023;
Inventory of Transmission;5;425;Comments_2;ES;2021;;;;*Estimation of the Length of Routes. Includes REE assets on a national scope.;28/03/2023;
Inventory of Transmission;5;426;Comments_3;ES;2021;;;;*Estimation of the Length of Routes. Includes REE assets on a national scope.;28/03/2023;
Inventory of Transmission;5;427;Comments_4;ES;2021;;;;*Includes REE assets on a national scope.;28/03/2023;
Inventory of Transmission;5;422;DCC_110kV_220V;ES;2021;;;;;28/03/2023;Not Expected
Inventory of Transmission;5;408;DCC_220kV_380kV;ES;2021;549.94;274.97;;;28/03/2023;
Inventory of Transmission;5;409;DCC_Over_380kV;ES;2021;;;;;28/03/2023;Not Expected
Inventory of Transmission;5;421;Nw_220kV_110kV_lower;ES;2021;;;61;7.849;28/03/2023;
Inventory of Transmission;5;420;Nw_275kV_110kV_lower;ES;2021;;;;;28/03/2023;Not Expected
Inventory of Transmission;5;419;Nw_330kV_110kV_lower;ES;2021;;;;;28/03/2023;Not Expected
Inventory of Transmission;5;418;Nw_330kV_220kV;ES;2021;;;;;28/03/2023;Not Expected
Inventory of Transmission;5;417;Nw_400kV_110kV_lower;ES;2021;;;;;28/03/2023;Not Expected
Inventory of Transmission;5;416;Nw_400kV_220kV;ES;2021;;;157;84.79;28/03/2023;
Inventory of Transmission;5;415;Nw_400kV_330kV;ES;2021;;;;;28/03/2023;Not Expected
Inventory of Transmission;5;414;Nw_750kV_400kV_lower;ES;2021;;;;;28/03/2023;Not Expected
Inventory of Transmission;5;413;Of_PU_>220kV;ES;2021;;;61;7.849;28/03/2023;
Inventory of Transmission;5;412;Of_PU_>275kV;ES;2021;;;;;28/03/2023;Not Expected
Inventory of Transmission;5;411;Of_PU_>330kV;ES;2021;;;;;28/03/2023;Not Expected
Inventory of Transmission;5;410;Of_PU_>400kV;ES;2021;;;157;84.79;28/03/2023;
Inventory of Transmission;5;406;ACC_220kV_380kV;FI;2021;;;;;28/03/2023;Not Expected
Inventory of Transmission;5;407;ACC_Over_380kV;FI;2021;;;;;28/03/2023;Not Expected
Inventory of Transmission;5;400;ACL_110kV_220kV;FI;2021;7325;6254;;;28/03/2023;
Inventory of Transmission;5;401;ACL_220kV;FI;2021;1398;1398;;;28/03/2023;
Inventory of Transmission;5;402;ACL_275kV;FI;2021;;;;;28/03/2023;Not Expected
Inventory of Transmission;5;403;ACL_330kV;FI;2021;;;;;28/03/2023;Not Expected
Inventory of Transmission;5;404;ACL_380_400kV;FI;2021;5463;5043;;;28/03/2023;
Inventory of Transmission;5;405;ACL_750kV;FI;2021;;;;;28/03/2023;Not Expected
Inventory of Transmission;5;424;Comments_1;FI;2021;;;;;28/03/2023;
Inventory of Transmission;5;425;Comments_2;FI;2021;;;;;28/03/2023;
Inventory of Transmission;5;426;Comments_3;FI;2021;;;;150 kV, DC. FG owns half = 52,5 km. Elering owns 52,5 km. Over 380 kV DC, Fingrid owns 271 km. Whole length, 3 connections = 554 km.;28/03/2023;
Inventory of Transmission;5;427;Comments_4;FI;2021;;;;;28/03/2023;
Inventory of Transmission;5;422;DCC_110kV_220V;FI;2021;53.5;52.5;;;28/03/2023;
Inventory of Transmission;5;408;DCC_220kV_380kV;FI;2021;;;;;28/03/2023;Not Expected
Inventory of Transmission;5;409;DCC_Over_380kV;FI;2021;271;271;;;28/03/2023;
Inventory of Transmission;5;421;Nw_220kV_110kV_lower;FI;2021;;;14;2223;28/03/2023;
Inventory of Transmission;5;420;Nw_275kV_110kV_lower;FI;2021;;;;;28/03/2023;Not Expected
Inventory of Transmission;5;419;Nw_330kV_110kV_lower;FI;2021;;;;;28/03/2023;Not Expected
Inventory of Transmission;5;418;Nw_330kV_220kV;FI;2021;;;;;28/03/2023;Not Expected
Inventory of Transmission;5;417;Nw_400kV_110kV_lower;FI;2021;;;56;22400;28/03/2023;
Inventory of Transmission;5;416;Nw_400kV_220kV;FI;2021;;;7;2000;28/03/2023;
Inventory of Transmission;5;415;Nw_400kV_330kV;FI;2021;;;;;28/03/2023;Not Expected
Inventory of Transmission;5;414;Nw_750kV_400kV_lower;FI;2021;;;;;28/03/2023;Not Expected
Inventory of Transmission;5;413;Of_PU_>220kV;FI;2021;;;15;2254.5;28/03/2023;
Inventory of Transmission;5;412;Of_PU_>275kV;FI;2021;;;;;28/03/2023;Not Expected
Inventory of Transmission;5;411;Of_PU_>330kV;FI;2021;;;;;28/03/2023;Not Expected
Inventory of Transmission;5;410;Of_PU_>400kV;FI;2021;;;63;24650;28/03/2023;
Inventory of Transmission;5;406;ACC_220kV_380kV;FR;2021;1643.336;0;;;28/03/2023;
Inventory of Transmission;5;407;ACC_Over_380kV;FR;2021;9.015;0;;;28/03/2023;
Inventory of Transmission;5;400;ACL_110kV_220kV;FR;2021;903.24;890;;;28/03/2023;
Inventory of Transmission;5;401;ACL_220kV;FR;2021;25565.691;21711;;;28/03/2023;
Inventory of Transmission;5;402;ACL_275kV;FR;2021;;;;;28/03/2023;Not Expected
Inventory of Transmission;5;403;ACL_330kV;FR;2021;;;;;28/03/2023;Not Expected
Inventory of Transmission;5;404;ACL_380_400kV;FR;2021;22062.205;13630;;;28/03/2023;
Inventory of Transmission;5;405;ACL_750kV;FR;2021;;;;;28/03/2023;Not Expected
Inventory of Transmission;5;424;Comments_1;FR;2021;;;;;28/03/2023;
Inventory of Transmission;5;425;Comments_2;FR;2021;;;;;28/03/2023;
Inventory of Transmission;5;426;Comments_3;FR;2021;;;;;28/03/2023;
Inventory of Transmission;5;427;Comments_4;FR;2021;;;;;28/03/2023;
